date,open,high,low,close,volume
201903060915,39662,39662,39662,39662,5
201903060933,39571,39571,39571,39571,25
201903060938,39571,39571,39571,39571,5
201903061012,39571,39571,39571,39571,5
201903061014,39571,39571,39571,39571,10
201903061020,39480,39480,39480,39480,250
201903061033,39480,39480,39480,39480,10
201903061040,39389,39389,39389,39389,25
201903061041,39298,39298,39298,39298,75
201903061043,39298,39298,39207,39207,150
201903061046,39389,39389,39389,39389,5
201903061122,39389,39389,39207,39207,100
201903061151,39207,39207,39207,39207,10
201903061213,39207,39207,39207,39207,25
201903061246,39480,39480,39480,39480,5
201903061327,39298,39298,39207,39207,40
201903061329,39207,39207,38843,38843,470
201903061330,38934,38934,38843,38843,45
201903061343,38843,38843,38843,38843,10
201903061344,39207,39207,39207,39207,5
201903061350,38843,38843,38752,38752,165
201903061352,38752,38752,38752,38752,105
201903061353,38752,38752,38752,38752,35
201903061414,38934,38934,38934,38934,50
201903061420,39025,39025,39025,39025,15
201903061427,38934,38934,38934,38934,50
201903061430,39025,39025,39025,39025,30
201903061439,38934,38934,38934,38934,50
201903061507,39116,39571,39116,39571,175
201903061520,39480,39480,39480,39480,5
201903061530,39480,39480,39480,39480,15
201903070901,39480,39480,39480,39480,5
201903071005,39480,39480,39480,39480,45
201903071008,39480,39480,39480,39480,5
201903071011,39480,39571,39480,39571,90
201903071023,39480,39480,39480,39480,15
201903071041,39480,39480,39480,39480,5
201903071054,39480,39480,39480,39480,25
201903071055,39480,39480,39480,39480,10
201903071102,39389,39389,39389,39389,5
201903071110,39389,39389,39389,39389,5
201903071118,39389,39389,39389,39389,55
201903071204,39389,39389,39389,39389,25
201903071228,39389,39389,39389,39389,5
201903071233,39389,39389,39389,39389,10
201903071332,39116,39116,39116,39116,10
201903071411,39116,39116,39116,39116,100
201903080921,39116,39116,39116,39116,5
201903081041,39116,39116,39116,39116,50
201903081043,39116,39116,39116,39116,30
201903081056,39389,39389,39389,39389,5
201903081057,39389,39389,39389,39389,5
201903081058,39389,39389,39389,39389,5
201903081125,39389,40026,39389,40026,500
201903081127,39844,39844,39844,39844,15
201903081128,39844,39844,39844,39844,35
201903081130,39753,39753,39753,39753,10
201903081134,39753,39753,39753,39753,25
201903081221,39662,39662,39662,39662,10
201903081308,39662,39662,39662,39662,20
201903081438,39662,39662,39662,39662,50
201903081443,39662,39662,39662,39662,5
201903081454,39207,39207,39207,39207,5
201903110926,38934,38934,38934,38934,405
201903110935,38934,38934,38934,38934,15
201903110953,38934,38934,38843,38843,150
201903111042,38934,38934,38934,38934,5
201903111058,38934,38934,38934,38934,5
201903111132,39116,39116,39116,39116,5
201903111144,39116,39116,39116,39116,5
201903111239,39116,39116,39116,39116,90
201903111241,39116,39389,39116,39389,35
201903111300,39389,39389,39389,39389,5
201903111504,39207,39207,39207,39207,55
201903111520,39207,39207,39116,39116,15
201903111530,39389,39389,39389,39389,5
201903120919,39571,39571,39571,39571,30
201903120926,39389,39389,39389,39389,5
201903121001,39480,39480,39480,39480,5
201903121002,39480,39662,39480,39662,55
201903121003,39662,39662,39662,39662,50
201903121004,39662,39662,39662,39662,5
201903121007,39662,39662,39662,39662,5
201903121024,39480,39480,39480,39480,5
201903121040,39662,39662,39662,39662,5
201903121055,39662,39662,39662,39662,65
201903121102,39480,39480,39480,39480,5
201903121128,39662,39662,39662,39662,5
201903121234,39662,39662,39662,39662,5
201903121257,39571,39571,39571,39571,5
201903121329,39571,39571,39571,39571,50
201903121335,39571,39571,39571,39571,175
201903121400,39571,39571,39571,39571,5
201903121419,39571,39571,39571,39571,5
201903121437,39480,39480,39480,39480,25
201903121446,39480,39480,39480,39480,15
201903121451,39662,39662,39662,39662,15
201903121504,39662,39662,39662,39662,5
201903121511,39662,39662,39662,39662,420
201903121518,39753,39753,39753,39753,5
201903130917,39753,39844,39753,39844,10
201903130919,39844,39844,39844,39844,5
201903130920,39753,39753,39753,39753,5
201903130921,39753,39844,39753,39844,20
201903130922,39844,39844,39844,39844,5
201903130926,39662,39662,39662,39662,15
201903131016,39480,39480,39480,39480,5
201903131035,39480,39480,39480,39480,5
201903131238,39753,39753,39753,39753,5
201903131354,39753,39753,39753,39753,5
201903131447,39753,39753,39753,39753,50
201903131449,39753,39753,39753,39753,10
201903131455,39844,39844,39844,39844,5
201903131516,39753,39753,39753,39753,45
201903131530,39844,39844,39844,39844,5
201903140918,39844,39844,39844,39844,10
201903140937,39844,39844,39844,39844,5
201903141059,39662,39662,39662,39662,5
201903141109,39480,39480,39480,39480,25
201903141119,39389,39389,39389,39389,25
201903141140,39389,39389,39389,39389,50
201903141417,39389,39389,39389,39389,165
201903141420,39389,39389,39389,39389,5
201903141434,39389,39389,39298,39298,375
201903141530,39298,39298,39298,39298,5
201903150923,39662,39662,39662,39662,5
201903150934,39207,39207,39207,39207,70
201903150939,39571,39571,39571,39571,5
201903150941,39207,39207,38934,38934,50
201903151014,39389,39389,39389,39389,5
201903151024,39389,39389,39389,39389,5
201903151056,39571,39571,39571,39571,5
201903151129,39207,39207,39207,39207,25
201903151156,39571,39571,39571,39571,5
201903151237,39207,39207,39207,39207,5
201903151431,39207,39207,39025,39025,25
201903151511,39480,39480,39480,39480,5
201903151530,39480,39480,39480,39480,5
201903180901,39662,39662,39662,39662,10
201903180927,39662,39662,39662,39662,10
201903180951,39662,39662,39662,39662,5
201903180953,39753,39753,39753,39753,5
201903181019,39662,39662,39662,39662,5
201903181052,39662,39662,39662,39662,35
201903181114,39662,39662,39662,39662,25
201903181145,39662,39662,39662,39662,25
201903181214,39116,39116,39116,39116,5
201903181224,39571,39571,39571,39571,5
201903181236,39116,39116,39116,39116,15
201903181259,39116,39116,39116,39116,10
201903181311,39116,39116,39116,39116,5
201903181313,39116,39116,39116,39116,5
201903181318,39116,39116,39116,39116,5
201903181334,39116,39116,39025,39025,25
201903181338,39025,39025,39025,39025,5
201903181342,39025,39025,39025,39025,5
201903181349,39025,39025,39025,39025,5
201903181352,39025,39025,39025,39025,25
201903181414,39025,39025,39025,39025,5
201903181427,39025,39025,39025,39025,5
201903181433,39025,39025,38843,38843,450
201903181438,38843,38843,38843,38843,10
201903181440,38752,38752,38752,38752,40
201903181450,39116,39116,39116,39116,5
201903181511,38752,38752,38752,38752,10
201903181530,39116,39116,39116,39116,5
201903190914,38843,38843,38752,38843,60
201903190928,38843,38843,38843,38843,25
201903190931,38752,38843,38752,38843,10
201903190933,38752,38843,38752,38843,85
201903190946,38661,38752,38661,38752,10
201903190947,38843,38843,38843,38843,30
201903190953,38661,38843,38661,38843,115
201903190956,38843,38843,38843,38843,25
201903191006,38752,38752,38752,38752,5
201903191035,38570,38570,38570,38570,5
201903191037,38843,38843,38843,38843,15
201903191057,38843,38843,38843,38843,5
201903191116,38661,38661,38661,38661,5
201903191122,38934,38934,38934,38934,5
201903191146,38661,38661,38661,38661,10
201903191206,38661,38661,38661,38661,5
201903191215,38661,38661,38661,38661,5
201903191218,38752,38752,38752,38752,15
201903191226,38752,38752,38752,38752,5
201903191246,38752,38752,38752,38752,5
201903191300,38752,38752,38752,38752,5
201903191304,38752,38752,38752,38752,5
