,code,market_cap,per,reg_date
0,A340570,2264,-1.0,2020/11/20
1,A253840,2470,-1.0,2019/05/28
2,A058110,2263,7.6,2015/12/14
3,A048260,13029,12.1,2007/02/07
4,A145720,7604,33.6,2017/03/15
5,A256840,3994,276.7,2016/12/28
6,A305090,1427,-1.0,2019/06/05
7,A08537M,82,-1.0,2006/07/04
8,A138610,3738,-1.0,2011/07/13
9,A150840,740,-1.0,2013/12/19
10,A228760,2578,-1.0,2019/03/27
11,A048870,2206,-1.0,2004/08/13
12,A208370,566,74.5,2014/12/17
13,A263690,1512,7.5,2018/11/22
14,A039840,5969,53.4,2000/06/29
15,A041920,1280,11.3,2014/10/07
16,A085370,2702,-1.0,2006/07/04
17,A216080,3513,-1.0,2019/11/14
18,A104540,2157,133.4,2013/03/05
19,A108860,750,18.3,2009/12/10
20,A119610,2674,23.8,2010/07/28
21,A054950,1231,22.5,2006/06/07
22,A214680,813,-1.0,2015/04/20
23,A228670,3500,44.2,2019/08/08
24,A164060,857,15.5,2020/08/06
25,A149980,843,26.5,2014/12/17
26,A179290,1394,20.5,2018/11/29
27,A043150,4575,-1.0,2006/09/29
28,A100700,2142,20.4,2008/09/30
29,A065510,1009,-1.0,2003/10/31
30,A057880,1692,15.8,2003/12/29
31,A314930,3113,-1.0,2021/03/17
32,A214150,9416,24.6,2015/04/03
33,A032940,988,1.2,1997/07/18
34,A041830,2791,15.9,2000/12/14
35,A006140,1245,25.0,1993/12/07
36,A100120,3621,15.8,2009/04/10
37,A099190,3393,12.6,2013/01/30
38,A226400,602,-1.0,2018/02/22
39,A225220,1399,3.8,2020/07/24
40,A302550,1461,-1.0,2019/12/06
41,A056090,410,-1.0,2015/11/12
42,A043100,226,13.5,2000/08/08
43,A004080,1152,9.2,1991/02/08
44,A290660,576,-1.0,2018/11/28
45,A219750,977,-1.0,2018/09/21
46,A246960,845,-1.0,2019/02/01
47,A122310,1434,14.0,2018/05/28
48,A142280,2093,31.1,2014/12/17
49,A229000,1255,3.4,2020/06/25
50,A059210,593,-1.0,2008/04/15
51,A228850,2032,-1.0,2016/04/11
52,A294090,7316,-1.0,2020/09/14
53,A290650,7241,67.2,2018/11/01
54,A335890,1177,-1.0,2019/12/03
55,A258830,712,42.3,2018/05/29
56,A304840,2321,-1.0,2020/10/19
57,A214610,1844,-1.0,2020/10/22
58,A246720,611,-1.0,2017/03/20
59,A042520,1233,-1.0,2009/10/09
60,A261200,1513,-1.0,2017/06/26
61,A156100,4740,-1.0,2016/11/30
62,A049180,2417,2040.0,2002/05/23
63,A307280,835,-1.0,2018/12/05
