,code,market_cap,per,reg_date
0,053290,2578,255.7,2002/12/10
1,095720,4776,511.2,2007/05/31
2,096240,2029,30.8,2008/06/27
3,057030,1227,-1.0,2004/06/08
4,019680,3795,-1.0,2004/02/03
5,108490,1907,-1.0,2018/10/26
6,067280,1977,19.8,2006/11/16
7,133750,985,19.9,2015/12/18
8,019685,523,-1.0,2004/02/03
9,289010,1041,139.4,2019/07/11
10,225330,1265,20.3,2016/04/07
11,100220,911,-1.0,2008/06/30
12,215100,943,-1.0,2015/04/22
13,215200,7072,32.8,2015/05/04
14,040420,1024,15.2,2000/08/01
15,035290,473,-1.0,1999/12/07
16,038340,166,-1.0,2001/11/22
17,339950,714,-1.0,2019/12/24
18,072870,1442,6.8,2004/12/21
19,134060,454,84.2,2011/04/27
20,068930,2390,21.0,2003/10/17
